Layer,Feature
P_ControllableFitting,PCF
P_MAOPCalcRange,PIPE
P_NonControllableFitting,ELBOW
P_NonControllableFitting,NIPPLE
P_NonControllableFitting,PLUG
P_NonControllableFitting,REDUCER
P_NonControllableFitting,SLEEVE
P_NonControllableFitting,CAP
P_NonControllableFitting,TEE
P_NonControllableFitting,FLANGE
P_NonControllableFitting,OLET
P_NonControllableFitting,CLOSURE
P_NonControllableFitting,OTHER
P_NonControllableFitting,UNKNOWN
P_NonControllableFitting,INSULATING_JOINT
P_Pipes,PIPE
P_TestPressureRange,PIPE
P_TVCLine,PIPE
P_TVCTable,ELBOW
P_TVCTable,NIPPLE
P_TVCTable,OTHER
P_TVCTable,PCF
P_TVCTable,PLUG
P_TVCTable,REDUCER
P_TVCTable,SLEEVE
P_TVCTable,UNKNOWN
P_TVCTable,VALVE
P_TVCTable,CLOSURE
P_TVCTable,FLANGE
P_TVCTable,INSULATING_JOINT
P_TVCTable,TEE
P_TVCTable,OLET
P_Valve,VALVE
P_Pipes,PCF
P_Pipes,ELBOW
P_Pipes,NIPPLE
P_Pipes,PLUG
P_Pipes,REDUCER
P_Pipes,SLEEVE
P_Pipes,CAP
P_Pipes,TEE
P_Pipes,FLANGE
P_Pipes,OLET
P_Pipes,CLOSURE
P_Pipes,OTHER
P_Pipes,UNKNOWN
P_Pipes,INSULATING_JOINT
P_Pipes,VALVE
